gender,age,education,frequency,informativeness,entertainment
Male  ,18-25,Master's degree or higher  ,Less than once a month ,Slightly likely  ,Slightly likely  
Female  ,18-25,Bachelor's degree  ,Less than once a month ,Slightly likely  ,Slightly likely  
Female  ,18-25,Master's degree or higher  ,About once a month  ,Moderately Likely  ,Moderately Likely  
Male  ,18-25,Bachelor's degree  ,About once a week  ,Slightly likely  ,Moderately Likely  
Male  ,18-25,Master's degree or higher  , About two to three times a week ,Slightly likely  ,Very likely  
Female  ,18-25,Master's degree or higher  ,More than once a day,Moderately Likely  ,Moderately Likely  
Female  ,18-25,Bachelor's degree  ,About once a month  ,Slightly likely  ,Slightly likely  
Female  ,18-25,Master's degree or higher  ,Less than once a month ,Not likely at all  ,Moderately Likely  
Female  ,26-35,Bachelor's degree  ,About once a month  ,Slightly likely  ,Moderately Likely  
Male  ,26-35,Bachelor's degree  , About two to three times a week ,Moderately Likely  ,Moderately Likely  
